iter	RMSE
430	2.714066494
431	2.713527498
432	2.713082464
433	2.712565855
434	2.711976344
435	2.711303943
436	2.710844202
437	2.710037218
438	2.709371126
439	2.708772558
440	2.708060833
441	2.707632334
442	2.707098703
443	2.706568033
444	2.706102686
445	2.705397362
446	2.704832592
447	2.703868413
448	2.703369055
449	2.703000818
450	2.702553506
451	2.70194591
452	2.701386997
453	2.700875624
454	2.700374849
455	2.69963358
456	2.699108727
457	2.698696651
458	2.698020037
459	2.697362014
460	2.696839993
461	2.696293859
462	2.695788968
463	2.695384665
464	2.694905626
465	2.694392763
466	2.693613481
467	2.692901882
468	2.692315926
469	2.691813715
470	2.691402378
471	2.69086285
472	2.689747672
473	2.689330123
474	2.688724923
475	2.688236927
476	2.687683801
477	2.687061461
478	2.686616795
479	2.686226891
480	2.685711428
481	2.685033094
482	2.68435759
483	2.68398201
484	2.683516172
485	2.683136545
486	2.682553722
487	2.682203799
488	2.681634121
489	2.681241933
490	2.680573783
491	2.680257269
492	2.679884356
493	2.679547363
494	2.679078643
495	2.678489808
496	2.678074759
497	2.677847922
498	2.677468779
499	2.676400119
500	2.675695464
501	2.67524412
502	2.674711943
503	2.674092566
504	2.673717103
505	2.67314502
506	2.672480043
507	2.672074016
508	2.67156131
509	2.67109935
510	2.670438795
511	2.669987477
512	2.66927907
513	2.668294339
514	2.667664303
515	2.667188551
516	2.666677764
517	2.666295459
518	2.665871013
519	2.664925967
520	2.664566499
521	2.663996114
522	2.66361466
523	2.663013343
524	2.662337594
525	2.662059338
526	2.661489119
527	2.661188482
528	2.660542036
529	2.660150915
530	2.659807696
531	2.659035903
532	2.658626886
533	2.658195449
534	2.657712732
535	2.65691955
536	2.656595155
537	2.656147059
538	2.65564007
539	2.655213425
540	2.654841242
541	2.654178197
542	2.653517309
543	2.653085241
544	2.652831129
545	2.65237186
546	2.651866045
547	2.651536873
548	2.650946155
549	2.650429531
550	2.650148503
551	2.649778501
552	2.649438754
553	2.649086696
554	2.648191575
555	2.647736944
556	2.647258679
557	2.646482865
558	2.645955899
559	2.645567883
560	2.645018189
561	2.644589449
562	2.644103352
563	2.643742775
564	2.643358976
565	2.642724205
566	2.642004655
567	2.641201783
568	2.640685939
569	2.640328142
570	2.640010613
571	2.638815282
572	2.638483148
573	2.638080472
574	2.637646906
575	2.637348303
576	2.636807345
577	2.63644676
578	2.636163482
579	2.635787879
580	2.635359121
581	2.634756595
582	2.634140457
583	2.633796457
584	2.633243153
585	2.632903567
586	2.632534593
587	2.631985836
588	2.631587765
589	2.630748142
590	2.629969816
591	2.629562032
592	2.628940149
593	2.628526422
594	2.628221177
595	2.62774375
596	2.627594714
597	2.627241142
598	2.626619465
599	2.626137659
600	2.625583947
601	2.625132661
602	2.624379916
603	2.623380775
604	2.623154939
605	2.622642297
606	2.622187775
607	2.621844464
608	2.621421377
609	2.620715049
610	2.620211238
611	2.620003692
612	2.619558091
613	2.619132426
614	2.618558762
615	2.618049264
616	2.617495018
617	2.616798299
618	2.616289053
619	2.615991985
620	2.615433797
621	2.615018418
622	2.614711126
623	2.6141543
624	2.613277769
625	2.612966279
626	2.61245997
627	2.612118344
628	2.61182955
629	2.611437047
630	2.610976081
631	2.610025863
632	2.609692162
633	2.609347625
634	2.608913751
635	2.608532522
636	2.608118356
637	2.60758996
638	2.607293572
639	2.60694886
640	2.606325577
641	2.605520125
642	2.605048641
643	2.604323957
644	2.603829995
645	2.603493853
646	2.602998847
647	2.602404049
648	2.602109088
649	2.601661531
650	2.601206318
651	2.600612028
652	2.600310108
653	2.599980605
654	2.599567456
655	2.599313488
656	2.598648769
657	2.598108134
658	2.597599181
659	2.597280903
660	2.596816448
661	2.596412772
662	2.596153328
663	2.595588646
664	2.595224284
665	2.594958266
666	2.594641279
667	2.594136152
668	2.593829523
669	2.593057461
670	2.592343016
671	2.591667159
672	2.591189338
673	2.590935999
674	2.590426154
675	2.590102748
676	2.589527987
677	2.589194772
678	2.588785831
679	2.588346549
680	2.588041882
681	2.587477405
682	2.587233278
683	2.586803132
684	2.58605301
685	2.585797463
686	2.585447657
687	2.584882144
688	2.584691742
689	2.584060658
690	2.583685279
691	2.583408257
692	2.582894371
693	2.582462909
694	2.582205685
695	2.581600957
696	2.581187736
697	2.580844575
698	2.580491764
699	2.580185821
700	2.579680723
701	2.579341629
702	2.579118638
703	2.578358876
704	2.578145619
705	2.577745895
706	2.57750435
707	2.576918953
708	2.576467564
709	2.576063405
710	2.575768971
711	2.575373428
712	2.574930822
713	2.574590068
714	2.574006504
715	2.573735179
716	2.573541005
717	2.573057863
718	2.572621903
719	2.572131946
720	2.571577089
721	2.570769267
722	2.57018017
723	2.5697292
724	2.569244667
725	2.568831065
726	2.56860391
727	2.568180273
728	2.567408499
729	2.567188302
730	2.566772076
731	2.566265135
732	2.565911744
733	2.565338556
734	2.564942771
735	2.564388011
736	2.563968164
737	2.563774293
738	2.563430245
739	2.563078689
740	2.562787337
741	2.562254422
742	2.561973876
743	2.56123613
744	2.560983259
745	2.560645945
746	2.560264721
747	2.559872243
748	2.559644443
749	2.559304365
750	2.559008053
751	2.558534242
752	2.558033846
753	2.557665803
754	2.557399108
755	2.556912282
756	2.556539156
757	2.556362339
758	2.556034522
759	2.555278811
760	2.554984217
761	2.55455992
762	2.55412703
763	2.553694156
764	2.553441595
765	2.552979064
766	2.552774912
767	2.552268323
768	2.551964227
769	2.551447397
770	2.55097281
771	2.550765589
772	2.550461
773	2.550047059
774	2.54956585
775	2.549385495
776	2.549219961
777	2.548871435
778	2.548467489
779	2.548176143
780	2.54788585
781	2.547594096
782	2.547123141
783	2.546815656
784	2.546431112
785	2.546107327
786	2.54584027
787	2.545518783
788	2.545122316
789	2.544581565
790	2.544304634
791	2.544059307
792	2.543627642
793	2.543261273
794	2.542854774
795	2.54265755
796	2.542202316
797	2.541796115
798	2.541371469
799	2.541024999
800	2.540548649
801	2.540119406
802	2.539710491
803	2.539401687
804	2.539048723
805	2.53870819
806	2.538138872
807	2.537811888
808	2.537374584
809	2.537102223
810	2.536739923
811	2.53645101
812	2.536026324
813	2.535778313
814	2.535625314
815	2.535103572
816	2.534227649
817	2.533702829
818	2.533480882
819	2.533012494
820	2.532641254
821	2.53244854
822	2.53211627
823	2.532010529
824	2.531763939
825	2.531558249
826	2.531291978
827	2.53105371
828	2.530632877
829	2.530275818
830	2.529865955
831	2.529584508
832	2.529382136
833	2.529170838
834	2.528944884
835	2.528623303
836	2.528417882
837	2.528059766
838	2.527717729
839	2.527408083
840	2.527061697
841	2.526391421
842	2.526155657
843	2.525998541
844	2.525801912
845	2.525601187
846	2.52532767
847	2.524994691
848	2.524739784
849	2.524323917
850	2.523978907
851	2.523759176
852	2.523383792
853	2.523019592
854	2.522330192
855	2.521843638
856	2.521374411
857	2.521223138
858	2.520933031
859	2.52063407
860	2.520218207
861	2.519775027
862	2.51960113
863	2.51934155
864	2.519212211
865	2.518939486
866	2.51855474
867	2.518389353
868	2.518052624
869	2.51775843
870	2.517444094
871	2.517004665
872	2.516761452
873	2.516340789
874	2.51587657
875	2.51577098
876	2.515528918
877	2.515187206
878	2.515006672
879	2.51472393
880	2.514226673
881	2.513856923
882	2.513336863
883	2.513076112
884	2.512526043
885	2.512222432
886	2.511879498
887	2.511581303
888	2.511151445
889	2.510789656
890	2.510460288
891	2.509893957
892	2.509546181
893	2.509246525
894	2.508962026
895	2.508565483
896	2.508199752
897	2.507856279
898	2.507538841
899	2.506977744
900	2.506574527
901	2.505948062
902	2.505596068
903	2.505359847
904	2.505034235
905	2.504805656
906	2.504539984
907	2.504224376
908	2.504144042
909	2.503911884
910	2.503775567
911	2.503446639
912	2.50295022
913	2.502761734
914	2.502359538
915	2.50191725
916	2.501673224
917	2.501473726
918	2.500710299
919	2.500460463
920	2.500074716
921	2.499739451
922	2.499551891
923	2.499169525
924	2.498886818
925	2.498633251
926	2.498496814
927	2.498252376
928	2.497956954
929	2.497654463
930	2.497181116
931	2.496648559
932	2.496411726
933	2.496253059
934	2.496046863
935	2.495653421
936	2.495253709
937	2.495064232
938	2.49470284
939	2.494371857
940	2.494008737
941	2.493757001
942	2.49301525
943	2.492484963
944	2.492220374
945	2.491894693
946	2.491421572
947	2.491137786
948	2.490722574
949	2.490335314
950	2.490095523
951	2.489503153
952	2.489151195
953	2.48877496
954	2.488498323
955	2.488223984
956	2.48807603
957	2.48757641
958	2.48709712
959	2.486838127
960	2.486602886
961	2.486333851
962	2.485811857
963	2.485498103
964	2.485007679
965	2.484523048
966	2.484191727
967	2.483901123
968	2.483757509
969	2.483560849
970	2.48322577
971	2.482885341
972	2.482740225
973	2.482386962
974	2.482251607
975	2.481779525
976	2.481476651
977	2.481202555
978	2.480972439
979	2.480705382
980	2.480359985
981	2.480182518
982	2.479832676
983	2.479316859
984	2.478915069
985	2.478637362
986	2.478370905
987	2.47815335
988	2.477909612
989	2.477484257
990	2.477138936
991	2.476704109
992	2.476515736
993	2.475939513
994	2.475759344
995	2.475613666
996	2.475258762
997	2.474962668
998	2.474604517
999	2.47433994
